CTUID,CT_Name,Pct_Owner_STIR_30plus,Median_Household_Income_2020
5350221.02,5350221.02,24.8,81000.0
5350222.01,5350222.01,27.0,99000.0
5350222.02,5350222.02,11.0,87000.0
5350223.01,5350223.01,15.2,160000.0
5350223.02,5350223.02,13.2,147000.0
5350224.00,5350224.00,12.0,190000.0
5350225.01,5350225.01,20.4,93000.0
5350225.02,5350225.02,35.0,72000.0
5350226.00,5350226.00,15.5,196000.0
5350227.00,5350227.00,10.4,228000.0
5350228.00,5350228.00,18.1,142000.0
5350229.00,5350229.00,18.7,258000.0
5350230.01,5350230.01,24.8,101000.0
5350230.02,5350230.02,24.0,85000.0
5350231.00,5350231.00,12.9,129000.0
5350232.00,5350232.00,15.2,208000.0
5350233.00,5350233.00,14.2,131000.0
5350234.00,5350234.00,15.3,120000.0
5350235.01,5350235.01,15.8,129000.0
5350235.02,5350235.02,22.4,94000.0
5350236.01,5350236.01,31.0,86000.0
5350236.02,5350236.02,18.2,106000.0
5350237.01,5350237.01,17.5,74000.0
5350237.02,5350237.02,16.8,110000.0
5350237.03,5350237.03,20.3,78500.0
5350238.01,5350238.01,9.9,130000.0
5350238.02,5350238.02,19.1,83000.0
5350239.00,5350239.00,14.4,84000.0
5350240.01,5350240.01,13.2,133000.0
5350240.02,5350240.02,25.5,78000.0
5350241.00,5350241.00,14.9,120000.0
5350242.00,5350242.00,9.4,72000.0
5350243.01,5350243.01,31.8,71500.0
5350243.02,5350243.02,19.7,79500.0
5350244.01,5350244.01,16.8,93000.0
5350244.02,5350244.02,30.7,75000.0
5350245.00,5350245.00,20.0,73500.0
5350246.00,5350246.00,11.7,85000.0
5350247.01,5350247.01,26.8,88000.0
5350247.02,5350247.02,20.3,94000.0
5350248.02,5350248.02,29.6,62000.0
5350248.03,5350248.03,18.3,99000.0
5350248.04,5350248.04,18.8,88000.0
5350248.05,5350248.05,25.7,89000.0
5350249.01,5350249.01,20.2,102000.0
5350249.03,5350249.03,16.7,97000.0
5350249.04,5350249.04,20.5,93000.0
5350249.05,5350249.05,36.4,72500.0
5350250.01,5350250.01,23.1,87000.0
5350250.02,5350250.02,24.3,85000.0
5350250.04,5350250.04,34.6,75500.0
5350250.05,5350250.05,38.1,74000.0
5350260.01,5350260.01,32.8,74000.0
5350260.04,5350260.04,0.0,62400.0
5350260.05,5350260.05,0.0,55200.0
5350260.06,5350260.06,31.7,75500.0
5350260.07,5350260.07,33.3,81000.0
5350261.00,5350261.00,28.9,60800.0
5350262.01,5350262.01,21.6,67500.0
5350262.02,5350262.02,14.4,75000.0
